name,hostname,site_id,device_type,platform,groups,function
ca2-sw01,10.69.12.1,CA2,9300L,cisco_ios,default_group,access_switch
ca3-sw01,10.69.14.1,CA3,9300L,cisco_ios,red_us_group,access_switch
ca5-sw01,10.69.27.1,CA5,9300L,cisco_ios,red_us_group,access_switch
dc1-sw01,10.69.10.1,DC1,9300L,cisco_ios,red_us_group,access_switch
dc1-sw01,10.69.10.1,DC1,9300L,cisco_ios,red_us_group,access_switch
fl1-sw01,10.69.8.1,FL1,9300L,cisco_ios,default_group,access_switch
fl3-sw01,10.69.43.1,FL3,9300L,cisco_ios,default_group,access_switch
il1-sw01-core,10.69.3.1,IL1,9300L,cisco_ios,red_us_group,access_switch
in2-sw01,10.69.25.1,IN2,9300L,cisco_ios,default_group,access_switch
in3-sw01,10.69.26.1,IN3,9300L,cisco_ios,default_group,access_switch
ma1-sw01,10.69.30.1,MA1,9300L,cisco_ios,default_group,access_switch
me1-sw01,10.69.17.1,ME1,9300L,cisco_ios,default_group,access_switch
nj1-sw01,10.69.5.1,NJ1,9300L,cisco_ios,default_group,access_switch
nm1-sw01,10.69.34.1,NM1,9300L,cisco_ios,red_us_group,access_switch
ny1-sw01-core,10.69.1.1,NY1,9500,cisco_ios,red_us_group,cores_switch
ny1-sw02-core,10.69.1.2,NY1,9500,cisco_ios,red_us_group,cores_switch
ny1-sw03-serv,10.69.1.3,NY1,9407,cisco_ios,red_us_group,servers_switch
ny1-sw04,10.69.1.4,NY1,9410,cisco_ios,red_us_group,access_switch
ny1-sw05-idf,10.69.1.5,NY1,9410,cisco_ios,red_us_group,access_switch
ny1-sw06,10.69.1.6,NY1,9300L,cisco_ios,red_us_group,access_switch
ny1-sw07,10.69.1.7,NY1,9300L,cisco_ios,red_us_group,access_switch
pa1-sw01,10.69.11.1,PA1,9300L,cisco_ios,default_group,access_switch
tx2-sw01,10.69.35.1,TX2,9300L,cisco_ios,default_group,access_switch
tx3-sw01,10.69.41.1,TX3,9300L,cisco_ios,default_group,access_switch
uk4-sw01,10.69.37.1,UK4,9300L,cisco_ios,default_group,access_switch
uk4-sw02,10.69.37.2,UK4,9300L,cisco_ios,default_group,access_switch
wi1-sw01,10.69.52.1,WI1,9300L,cisco_ios,default_group,access_switch
